,Fare Type,Timing,Distance,Fare per Ride
243,Student card fare,All other timings,11.3 km - 12.2 km,64
244,Student card fare,All other timings,12.3 km - 13.2 km,64
245,Student card fare,All other timings,13.3 km - 14.2 km,64
246,Student card fare,All other timings,14.3 km - 15.2 km,64
247,Student card fare,All other timings,15.3 km - 16.2 km,64
248,Student card fare,All other timings,16.3 km - 17.2 km,64
249,Student card fare,All other timings,17.3 km - 18.2 km,64
250,Student card fare,All other timings,18.3 km - 19.2 km,64
251,Student card fare,All other timings,19.3 km - 20.2 km,64
252,Student card fare,All other timings,20.3 km - 21.2 km,64
253,Student card fare,All other timings,21.3 km - 22.2 km,64
254,Student card fare,All other timings,22.3 km - 23.2 km,64
255,Student card fare,All other timings,23.3 km - 24.2 km,64
256,Student card fare,All other timings,24.3 km - 25.2 km,64
257,Student card fare,All other timings,25.3 km - 26.2 km,64
258,Student card fare,All other timings,26.3 km - 27.2 km,64
259,Student card fare,All other timings,27.3 km - 28.2 km,64
260,Student card fare,All other timings,28.3 km - 29.2 km,64
261,Student card fare,All other timings,29.3 km - 30.2 km,64
262,Student card fare,All other timings,30.3 km - 31.2 km,64
263,Student card fare,All other timings,31.3 km - 32.2 km,64
264,Student card fare,All other timings,32.3 km - 33.2 km,64
265,Student card fare,All other timings,33.3 km - 34.2 km,64
266,Student card fare,All other timings,34.3 km - 35.2 km,64
267,Student card fare,All other timings,35.3 km - 36.2 km,64
268,Student card fare,All other timings,36.3 km - 37.2 km,64
269,Student card fare,All other timings,37.3 km - 38.2 km,64
270,Student card fare,All other timings,38.3 km - 39.2 km,64
271,Student card fare,All other timings,39.3 km - 40.2 km,64
272,Student card fare,All other timings,Over 40.2 km,64
273,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,19
274,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,27
275,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,35
276,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,43
277,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,50
278,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,56
279,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),8.3 km - 9.2 km,62
280,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),9.3 km - 10.2 km,65
281,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),10.3 km - 11.2 km,68
282,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),11.3 km - 12.2 km,71
283,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),12.3 km - 13.2 km,74
284,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),13.3 km - 14.2 km,77
285,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),14.3 km - 15.2 km,80
286,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),15.3 km - 16.2 km,83
287,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),16.3 km - 17.2 km,86
288,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),17.3 km - 18.2 km,89
289,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),18.3 km - 19.2 km,92
290,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),19.3 km - 20.2 km,95
291,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),20.3 km - 21.2 km,98
292,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),21.3 km - 22.2 km,101
293,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),22.3 km - 23.2 km,104
294,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),23.3 km - 24.2 km,106
295,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),24.3 km - 25.2 km,107
296,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),25.3 km - 26.2 km,108
297,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),26.3 km - 27.2 km,109
298,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),27.3 km - 28.2 km,110
299,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),28.3 km - 29.2 km,111
300,Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),29.3 km - 30.2 km,112
